video_id,titulo,canal,fecha,descripcion,vistas,likes,comentarios_total,duracion
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,Grupo REFORMA,2026-02-21T00:21:17Z,EL NORTE convocó al Alcalde Adrián de la Garza y al ex Alcalde Luis Donaldo Colosio para exponer sus puntos de vista sobre ...,113352,1593,863,PT1H16M10S
8n9D1tOmsgM,"ADRIÁN DE LA GARZA EN LA MIRA Y más de MC, PRI, PT Y MORENA por NARCOALIANZAS | REPORTAJES",La Saga,2026-05-19T03:30:25Z,Conéctate con nosotros: Recuerda suscribirte al canal y activar la campanita para no perderte ninguna de nuestras entrevistas ...,49301,1372,197,PT7M12S
t5uGKiCIZyw,Una Entrevista Exclusiva con Adrián de la Garza - Con Melo Montoya,Melo Montoya,2025-10-29T00:15:33Z,"Tuve el honor de tener una buena platica con Adrián de la Garza donde nos cuenta su experiencia siendo Alcalde de Monterrey, ...",7168,121,26,PT58M58S
yvitWMp1Nj8,PDN 270 - ADRIÁN DE LA GARZA: OTRO MAS A LA LISTA DE NARCOPOLÍTICOS,PIE DE NOTA | Con Luis Chaparro,2026-02-11T18:20:04Z,"Hoy, miércoles 11 de febrero, te contamos sobre el nuevo integrante de la lista de Narcopoliticos En Pie de Nota con Luis ...",26541,2695,85,PT1H28M10S
QO4uk5wtbe8,Corrupción al estilo vieja política: Adrián de la Garza y su contrato millonario con Next Energy.,Movimiento Ciudadano,2026-02-03T21:03:15Z,"Descripción y copy redes: ¿Sabes qué conecta al alcalde del PRI Adrián de la Garza, con la empresa Next Energy?   Empieza ...",1978435,20,5,PT1M6S
JjKd6Ud-rXU,Hablamos de SALUD y EJERCICIO con Adrián de la Garza,Prohibido Estacionarse,2025-11-18T00:00:56Z,Bienvenidos a un episodio más! Tuvimos el honor de tener a Adrián de la Garza en el Podcast y compartió tips para todos ...,9983,271,28,PT1H48M51S
OyagH5S9ZTw,¿Adrián de la Garza gobernador con MORENA? Esto nos dijo #GrilloSada en el Podcast de Real Politik,CarlosSanchezMX,2025-05-28T00:39:23Z,,18904,53,3,PT41S
XqQhMuFKxxc,¡FGR irá por Adrián de la Garza! Lo acusan formalmente por presunta corrupción | MLDA,La Saga,2026-05-18T18:50:00Z,"Adrián de la Garza, actual presidente municipal de Monterrey, es denunciado formalmente ante la Fiscalía General de la ...",41585,973,276,PT5M59S
0PDjWJU_Ny4,"Ep. 01 | Adrian de la Garza: Su Historia, Sus Retos y Su Día a Día - Platicando de Más",Platicando De Más,2024-05-14T22:15:00Z,Nos sumergimos en una charla profunda con Adrian de la Garza en ➕! Explora su trayectoria política desde sus inicios hasta ...,251,8,0,PT47M49S
BEG8RL0k07A,"Adrián de la Garza, mensajes ocultos",Código Magenta,2025-10-02T11:01:49Z,"Más que un balance de su gestión, el primer Informe del alcalde de Monterrey, Adrián de la Garza, fue un documento político con ...",40634,2139,203,PT6M11S
DqNEpqc5rnY,Ep. 160 Dile+: Adrian de la Garza,Altavoz MX,2025-09-26T07:04:31Z,"En este episodio César Ulloa y Adrian de la Garza, Presidente Municipal De Monterrey, N.L.. Sigue nuestras redes sociales: ...",39160,24,4,PT30M14S
FkFoezMOM4Q,PRI perfila a Adrián de la Garza como candidato a la gubernatura de NL en 2027,Telediario Monterrey,2026-02-06T19:30:02Z,Telediario #TelediarioMonterrey La dirigencia nacional del PRI perfila a Adrián de la Garza como candidato a la gubernatura de ...,503,4,5,PT2M21S
0QEmDF8Yb80,La Entrevista | Adrián de la Garza: Preparado para los nietos   #elecciones2024mx,POSTAmx,2024-06-08T21:38:37Z,"Adrián de la Garza, virtual ganador a la alcaldía de Monterrey, habla sobre cómo criar hijos exitosos en esta etapa de nuestras ...",4767,42,1,PT31S
E5qwC2g6Rlk,"Mañana entrevista exclusiva con Adrián de la Garza , 6pm en YouTube!",Melo Montoya,2025-10-28T00:24:55Z,,3580,60,1,PT1M13S
_1iCZlgxg4w,"Mariana Rodríguez llama “güey” a Adrián de la Garza, alcalde de #Monterrey",Zócalo,2026-04-18T06:53:46Z,Visita nuestro sitio web Zócalo: http://bit.ly/2w4LMYd Síguenos en Redes Sociales Facebook Zócalo: https://bit.ly/3ZkDTcx Tele ...,8927,170,53,PT1M12S
Z7ZKsW0T2Vc,Investigación de FGR confirma persecución política en mi contra: Adrián de la Garza,MILENIO,2021-05-11T06:19:20Z,"El candidato del PRI por la gubernatura de Nuevo León acusó que la denuncia contra Samuel García es una simulación; ""no le ...",35199,386,338,PT2M16S
ZYFqgAy2urg,PRI destapa a Adrián de la Garza para Nuevo León y abre puerta a alianza con PAN,Grupo Fórmula,2026-03-17T14:20:25Z,"El dirigente del PRI en Nuevo León, José Luis Garza Ochoa, confirmó que su partido impulsará a Adrián de la Garza como ...",4502,77,47,PT8M56S
9RCqxhKQZfs,Vinculan al hijo de Adrián de la Garza con NARCOINFLUENCERS de Sinaloa:,PIE DE NOTA | Con Luis Chaparro,2026-05-14T22:37:03Z,Vinculan al hijo de Adrián de la Garza con NARCOINFLUENCERS de Sinaloa ǀ Investigación de Ignacio Gómez Villaseñor.,24283,1492,50,PT2M42S
wNIqSY7ht3g,Historias ocultas de Monterrey - Adrián de la Garza,La Verdad Cuesta,2025-11-07T02:32:59Z,"Una platica muy especial con Adrián, me resolvió muchas dudas que tenía sobre Monterrey y sus secretos, espero les guste .",28410,885,59,PT1H52M25S
n9Xz8Uz-C98,"Entrevista 28 de septiembre de 2016, Adrián de la Garza",Adrián de la Garza,2016-09-29T03:22:56Z,"El Alcalde de Monterrey, Adrián de la Garza Santos. Nos comparte la entrevista que se hizo durante el Telediario Nocturno.",1414,7,0,PT8M3S
