video_id,titulo_video,autor,texto,likes,fecha,respuestas,sentimiento,sentimiento_score,sentimiento_es
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@Tvtrini,Ta bien puños el moderador,110,2026-02-21T02:18:55Z,2,NEG,0.5735,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@marionarvaez169,"Gracias, Adrian. Sólito te diste en la madre. La volverás a Cruzazulear?",61,2026-02-21T01:55:38Z,0,NEG,0.8828,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@LaReynadmty,Y donde esta el dueño de next energy aaaahhh siii en la carcel por fraudes 😂😂 el chiste se cuenta solo,101,2026-02-21T00:46:53Z,0,NEG,0.7089,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@silvialuevanos877,"Celebró este tipo de debates en los que los políticos tienen que dar la cara de sus acciones.<br><br>Coincido con las demás opiniones en cuanto al moderador, tenía que poner más orden.",179,2026-02-21T01:16:47Z,3,POS,0.5192,Positivo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@eunicebuendia9955,"Gracias por este encuentro, así deben dar la cara los servidores públicos, y darnos cuentas<br>Tienen que ser CLARAS",24,2026-02-21T01:49:51Z,0,POS,0.7708,Positivo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@AmericaDeLeon-ct9ef,Se enterró el Adrián 😂😂😂,26,2026-02-21T04:09:32Z,0,NEG,0.8021,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@davidabsalon7539,"De lo peor el moderador solo quería entender el interrumpiendo todo el debate no puso orden no dirigió correctamente para que los 2 expusieran sus argumentos, alegatos o documentos, solo quería entender el (moderador) y eso provocó que nadie entendiera nada",38,2026-02-21T01:05:02Z,0,NEG,0.9768,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@kberenicegs,Que se aplique este tipo de situaciones para todos los políticos y sus familiares,13,2026-02-21T04:23:31Z,0,NEG,0.6489,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@diegoz8657,Adrian dices que no te dejan hablar y hablaste mas,67,2026-02-21T01:30:24Z,3,NEG,0.8635,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@diegoz8657,Si le heredas un problema jurídico a la siguiente administración sigues siendo responsable ante la ley por negligencia. Si la siguiente administración &quot;arregla&quot; tus malos manejos está en condiciones y es su obligación de denunciar.,37,2026-02-21T01:35:59Z,1,NEG,0.7617,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@robertozuñiga-i7t,"Con todo y las carencias aquí evidenciadas tanto del Alcalde, Ex Alcalde y Moderador, MUCHAS FELICIDADES POR SU VALENTIA, este tipo de ejercicios es sumamente importantes para la ciudadanía, dicho todo esto con respeto, felicidades de nuevo.",9,2026-02-21T02:43:38Z,0,POS,0.8865,Positivo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@robertozamoracastro,Adrián de la Garza no pudo aclarar lo del avance del 60% al día siguiente de firmado el contrato … evidentemente mintió y trató en todo momento de defenderse tirándole la responsabilidad a Colosio. Colosio se iba al grano y a puntos concretos y De la Garza trataba de culpar sin aclarar aclarar esos puntos.,45,2026-02-21T03:09:05Z,4,NEG,0.9397,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@rosarriaga913,YA MAMO ADRIAN DE LA GARZA !😅😂,18,2026-02-21T04:52:49Z,0,NEG,0.6852,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@glozano28,Adrian es un gangster....No se puede tapar el sol con un dedo,66,2026-02-21T01:53:26Z,1,NEG,0.9174,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@antoniouribe8256,Hizo el problema adrian y ahora el es el bueno jajajajaja,29,2026-02-21T03:49:16Z,0,NEG,0.5925,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@diegoz8657,Ese del PRI es bien mentiroso,32,2026-02-21T01:12:51Z,0,NEG,0.9598,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@enriqueramirez2208,"Hay que ser un verdadero cínico y un impostor sin ninguna clase de escrúpulos y claro, Adrián lo es de sobra. El clásico ladrón que grita ladrón para tratar de desviar la atención. Ese contrato nunca debió de firmarse, punto, apesta a fraude y una corrupción tan descarada como ofensiva para todos. No olvidarlo cuando vengan las próximas elecciones. Creo que Donando hizo lo mejor que podía, no había mucho para dónde hacerse, los corruptos suelen amarrar bien sus negocios.",17,2026-02-21T03:12:03Z,0,NEG,0.9641,Negativo
9dRtUIKWemA,Adrián de la Garza y Luis Donaldo Colosio | Cara a Cara: Next Energy,@kathyarguello8669,"Empresarios disfrazados de políticos, como siempre, defraudando a los municipios. No se diga los dueños de constructoras, como ya no quisieron intermediarios para defraudar a los municipios, ahora se hicieron políticos. Siempre buscando el beneficio a través de la administración Pública. Ojalá la ciudadanía y los partidos políticos abran los ojos y dejen de postular a puro coyote y viejo lobo de mar que lo último que le importa es el bien de la ciudadanía",15,2026-02-21T01:47:20Z,0,NEG,0.9681,Negativo
